date,oil_price
2018-03-21,52.9587
2018-03-20,52.0597
2018-03-19,50.4321
2018-03-18,50.6406
2018-03-17,50.6863
2018-03-16,50.6863
2018-03-15,49.8068
2018-03-14,49.2513
2018-03-13,49.1264
2018-03-12,49.6784
2018-03-11,50.5019
2018-03-10,50.4651
2018-03-09,50.4651
2018-03-08,48.9943
2018-03-07,49.3828
2018-03-06,49.9682
2018-03-05,50.7509
2018-03-04,50.0143
2018-03-03,49.9415
2018-03-02,49.9429
2018-03-01,49.9013
2018-02-28,50.523
2018-02-27,51.3558
2018-02-26,51.9525
2018-02-25,51.7512
2018-02-24,51.7284
2018-02-23,51.7242
2018-02-22,50.8194
2018-02-21,49.866
2018-02-20,49.9815
2018-02-19,50.3345
2018-02-18,49.6934
2018-02-17,49.6113
2018-02-16,49.6111
2018-02-15,49.0584
2018-02-14,48.6948
2018-02-13,47.7255
2018-02-12,48.3805
2018-02-11,48.4687
2018-02-10,48.2629
2018-02-09,48.2407
2018-02-08,49.3349
2018-02-07,50.2912
2018-02-06,51.5949
2018-02-05,51.401
2018-02-04,52.2321
2018-02-03,52.2167
2018-02-02,52.2373
2018-02-01,52.8104
2018-01-31,52.2334
2018-01-30,51.4191
2018-01-29,52.9101
2018-01-28,53.3191
2018-01-27,53.2919
2018-01-26,53.2919
2018-01-25,52.5761
2018-01-24,53.0733
2018-01-23,52.3842
2018-01-22,52.1002
2018-01-21,51.7526
2018-01-20,51.9069
2018-01-19,51.9069
2018-01-18,51.9863
2018-01-17,52.6297
2018-01-16,52.0657
2018-01-15,52.7671
2018-01-14,52.6954
2018-01-13,52.7724
2018-01-12,52.8224
2018-01-11,52.7679
2018-01-10,53.0679
2018-01-09,53.101
2018-01-08,51.9953
2018-01-07,51.2241
2018-01-06,51.1677
2018-01-05,51.1677
2018-01-04,51.3217
2018-01-03,51.483
2018-01-02,50.0733
2018-01-01,50.1499
2017-12-31,50.1204
2017-12-30,50.1098
2017-12-29,50.1335
2017-12-28,50.1161
2017-12-27,50.067
2017-12-26,50.4411
2017-12-25,49.345
2017-12-24,49.2217
2017-12-23,49.1974
2017-12-22,49.2157
2017-12-21,49.057
2017-12-20,48.8657
2017-12-19,48.7305
2017-12-18,48.6515
2017-12-17,48.8996
2017-12-16,48.8208
2017-12-15,48.8208
2017-12-14,48.5157
2017-12-13,47.9675
2017-12-12,48.9289
2017-12-11,49.1802
2017-12-10,48.5959
2017-12-09,48.683
2017-12-08,48.7248
2017-12-07,48.0652
2017-12-06,47.5091
2017-12-05,48.568
2017-12-04,48.4139
2017-12-03,49.0457
2017-12-02,49.0334
2017-12-01,49.0334
2017-11-30,48.2273
2017-11-29,48.4087
2017-11-28,48.6951
2017-11-27,48.6222
2017-11-26,49.359
2017-11-25,49.4185
2017-11-24,49.4201
2017-11-23,49.2722
2017-11-22,49.064
2017-11-21,48.6119
2017-11-20,48.0171
2017-11-19,48.3156
2017-11-18,48.1511
2017-11-17,48.1511
2017-11-16,47.0657
2017-11-15,47.0982
2017-11-14,46.6981
2017-11-13,48.6352
2017-11-10,48.7719
2017-11-09,48.9774
2017-11-08,49.0527
2017-11-07,49.1426
2017-11-06,49.2786
2017-11-05,48.0751
2017-11-04,47.9887
2017-11-03,47.9887
2017-11-02,47.1025
2017-11-01,46.6581
2017-10-31,46.8469
2017-10-30,46.4249
2017-10-29,46.5805
2017-10-28,46.6618
2017-10-27,46.6618
2017-10-26,45.2804
2017-10-25,44.1495
2017-10-24,44.6218
2017-10-23,44.1586
2017-10-22,44.3144
2017-10-21,44.1819
2017-10-20,44.1819
2017-10-19,43.539
2017-10-18,44.3412
2017-10-17,44.4049
2017-10-16,43.9878
2017-10-15,43.8911
2017-10-14,43.4921
2017-10-13,43.4921
2017-10-12,42.9006
2017-10-11,43.0436
2017-10-10,43.0835
2017-10-09,42.2047
2017-10-08,42.1
2017-10-07,41.9426
2017-10-06,41.9426
2017-10-05,43.3396
2017-10-04,42.4152
2017-10-03,42.5963
2017-10-02,43.041
2017-10-01,43.7461
2017-09-30,43.6837
2017-09-29,43.801
2017-09-28,43.9137
2017-09-27,44.1601
2017-09-26,43.9633
2017-09-25,43.245000000000005
2017-09-24,42.534
2017-09-23,42.4255
2017-09-22,42.4252
2017-09-21,42.6542
2017-09-20,42.3127
2017-09-19,42.0388
2017-09-18,42.1822
2017-09-17,42.1002
2017-09-16,42.2132
2017-09-15,42.299
2017-09-14,41.839
2017-09-13,41.1738
2017-09-12,40.3788
2017-09-11,40.0137
2017-09-10,39.6141
2017-09-09,39.4604
2017-09-08,39.5112
2017-09-07,41.194
2017-09-06,41.2579
2017-09-05,40.8588
2017-09-04,39.9048
2017-09-03,39.9613
2017-09-02,39.9065
2017-09-01,39.9065
2017-08-31,39.5381
2017-08-30,38.4285
2017-08-29,38.6029
2017-08-28,39.1089
2017-08-27,40.1686
2017-08-26,40.1141
2017-08-25,40.5237
2017-08-24,40.4103
2017-08-23,41.1193
2017-08-22,40.4128
2017-08-21,40.4844
2017-08-20,41.4691
2017-08-19,41.5456
2017-08-18,41.6614
2017-08-17,40.0029
2017-08-16,39.8851
2017-08-15,40.4933
2017-08-14,40.2727
2017-08-13,41.2757
2017-08-12,41.2842
2017-08-11,41.4813
2017-08-10,41.2854
2017-08-09,42.1745
2017-08-08,41.6008
2017-08-07,41.8074
2017-08-06,42.1248
2017-08-05,42.0654
2017-08-04,41.6939
2017-08-03,41.3238
2017-08-02,41.9668
2017-08-01,41.22
2017-07-31,42.6396
2017-07-30,42.5089
2017-07-29,42.3557
2017-07-28,42.5936
2017-07-27,41.8633
2017-07-26,41.7749
2017-07-25,41.6094
2017-07-24,39.7676
2017-07-23,39.2205
2017-07-22,39.0833
2017-07-21,39.2033
2017-07-20,40.6899
2017-07-19,40.9542
2017-07-18,40.4946
2017-07-17,40.3009
2017-07-16,40.6698
2017-07-15,40.696
2017-07-14,40.9597
2017-07-13,40.3793
2017-07-12,39.5311
2017-07-11,40.2098
